module,name,kind,internal_count,src_count,dev_count,test_count,comment
glimra/textmate/raw_grammar,new_raw_grammar,fn,0,0,0,2,
glimra/textmate/raw_grammar,RawRule,type,39,38,0,2,
glimra/textmate/raw_grammar,new_raw_rule,fn,6,0,0,2,
glimra/textmate/raw_grammar,include_rule,fn,0,0,0,4,
glimra/textmate/raw_grammar,match_rule,fn,0,4,0,3,
glimra/textmate/raw_grammar,begin_end_rule,fn,0,4,0,3,
glimra/textmate/raw_grammar,begin_while_rule,fn,0,4,0,0,
glimra/textmate/raw_grammar,IncludeReference,type,1,0,0,0,pub_signature
glimra/textmate/raw_grammar,parse_include,fn,0,2,0,7,
glimra/textmate/raw_grammar,init_grammar,fn,0,4,0,0,
glimra/textmate/raw_grammar,merge_repositories,fn,0,2,0,0,
glimra/textmate/raw_grammar,is_match_rule,fn,0,3,0,2,
glimra/textmate/raw_grammar,is_begin_end_rule,fn,0,3,0,2,
glimra/textmate/raw_grammar,is_begin_while_rule,fn,0,3,0,0,
glimra/textmate/raw_grammar,is_include_only_rule,fn,0,1,0,3,
glimra/textmate/raw_grammar,get_effective_begin_captures,fn,0,3,0,0,
glimra/textmate/raw_grammar,get_effective_end_captures,fn,0,2,0,0,
glimra/textmate/raw_grammar,get_effective_while_captures,fn,0,2,0,0,
glimra/textmate/scope_selector,ScopeMatcher,type,5,0,0,0,pub_signature
glimra/textmate/scope_selector,create_matchers,fn,0,1,0,0,
glimra/textmate/grammar,end_rule_id,const,3,2,0,0,
glimra/textmate/grammar,Grammar,type,10,42,0,0,
glimra/textmate/grammar,Injection,type,2,10,0,0,
glimra/textmate/grammar,get_rule,fn,1,7,0,0,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/textmate/grammar,CompiledRule,type,7,0,0,0,internal_only
glimra/textmate/grammar,FindMatchResult,type,3,7,0,0,
glimra/textmate/grammar,find_next_match,fn,1,5,0,0,
glimra/textmate/grammar,compile_rule_patterns,fn,0,3,0,0,
glimra/textmate/grammar,compile_while_pattern,fn,0,2,0,0,
